mode time Mu[1,1] Mu[1,2] Mu[2,1] Mu[2,2] Mu[3,1] Mu[3,2] rho[1] rho[2] PI[1,1,1] PI[1,1,2] PI[1,2,1] PI[1,2,2] PI[2,1,1] PI[2,1,2] PI[2,2,1] PI[2,2,2] PI[3,1,1] PI[3,1,2] PI[3,2,1] PI[3,2,2] alpha[1,1] alpha[1,2] alpha[2,1] alpha[2,2] alpha[3,1] alpha[3,2] lambda[1] lambda[2] lambda[3] theta[1] theta[2] loglikelihood
EM 1.27 0.5156 0.1565 0.2423 0.1396 0.2421 0.7039 0.113 0.113 0 0.002654 0.00076 0 0 0.002136 0.0007977 0 0 0.001171 0.002053 0 0.2226 0.7774 0.2719 0.7281 0.6368 0.3632 38.9174 26.943 22.5251 0.006022 0.006022 -69966.1305
EM 2.479 0.5899 0.119 0.2362 0.1209 0.1738 0.7601 0.1094 0.1094 0 0.002674 0.0008456 0 0 0.001965 0.0007757 0 0 0.001234 0.002089 0 0.2402 0.7598 0.283 0.717 0.6286 0.3714 36.9243 24.1478 22.8167 0.006064 0.006064 -69610.5567
EM 3.781 0.645 0.0951 0.2281 0.1106 0.1269 0.7943 0.1083 0.1083 0 0.002954 0.001002 0 0 0.002128 0.000852 0 0 0.001394 0.002303 0 0.2532 0.7468 0.2859 0.7141 0.623 0.377 39.2251 25.9945 25.1024 0.006146 0.006146 -69428.9111
EM 5.123 0.6848 0.07954 0.2198 0.1052 0.09543 0.8153 0.1082 0.1082 0 0.00323 0.001134 0 0 0.002355 0.0009483 0 0 0.001551 0.002516 0 0.2599 0.7401 0.2871 0.7129 0.6186 0.3814 42.1164 28.7098 27.3875 0.006203 0.006203 -69331.1652
EM 6.46 0.7136 0.06905 0.2124 0.1026 0.07402 0.8284 0.1085 0.1085 0 0.003454 0.001234 0 0 0.002561 0.001032 0 0 0.001678 0.002682 0 0.2632 0.7368 0.2873 0.7127 0.6151 0.3849 44.6543 31.2084 29.1725 0.006237 0.006237 -69276.4467
EM 7.847 0.7348 0.06172 0.206 0.1016 0.05919 0.8366 0.1088 0.1088 0 0.003627 0.001307 0 0 0.00273 0.0011 0 0 0.001774 0.002803 0 0.2649 0.7351 0.2872 0.7128 0.6124 0.3876 46.7021 33.2841 30.4828 0.006255 0.006255 -69244.6271
EM 9.25 0.7506 0.05643 0.2008 0.1016 0.04867 0.8419 0.1091 0.1091 0 0.00376 0.001361 0 0 0.002863 0.001152 0 0 0.001848 0.002894 0 0.2657 0.7343 0.2868 0.7132 0.6103 0.3897 48.3115 34.9481 31.457 0.006266 0.006266 -69225.4446
EM 10.51 0.7625 0.05251 0.1965 0.1022 0.04104 0.8453 0.1093 0.1093 0 0.003861 0.0014 0 0 0.002968 0.001191 0 0 0.001906 0.002963 0 0.2661 0.7339 0.2865 0.7135 0.6086 0.3914 49.57 36.2562 32.2046 0.006272 0.006272 -69213.5121
EM 12.03 0.7716 0.04953 0.193 0.1029 0.0354 0.8475 0.1095 0.1095 0 0.003939 0.001429 0 0 0.003048 0.001222 0 0 0.001952 0.003017 0 0.2663 0.7337 0.2861 0.7139 0.6072 0.3928 50.5595 37.2752 32.7936 0.006276 0.006276 -69205.8956
EM 13.36 0.7787 0.04723 0.1902 0.1038 0.03114 0.849 0.1096 0.1096 0 0.004 0.001451 0 0 0.003111 0.001245 0 0 0.00199 0.003061 0 0.2663 0.7337 0.2858 0.7142 0.606 0.394 51.3458 38.0679 33.2654 0.00628 0.00628 -69200.9334
